net,pin_count,inst_count,hpwl_um,x_span_um,y_span_um,is_power,net_class,criticality,guide_layer,priority_score,recommendation,instances,roles
0,15,12,292.0334,65.521,226.51239999999999,True,power,power,"255,11",15292.0334,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X1,X2,X3,X4,X5,X6,X7,XQ0,Xb,Xc,Xe,Xf","B,C,S"
vdd,14,7,107.11100000000002,98.09980000000002,9.011200000000002,True,power,power,"255,12",14107.111,Use wide metal and short/body-tap-friendly route; keep rail resistance low.,"X10,X11,X12,X8,X9,Xa,Xd","B,S"
net2,9,8,177.3578,98.09980000000003,79.25799999999997,False,bias_or_feedback_sensitive,high,"255,15",11077.3578,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X10,X11,X12,X3,X8,X9,Xa,Xd","D,G"
net03,4,4,373.8806,96.10020000000002,277.7804,False,bias_or_feedback_sensitive,high,"255,19",5823.8806,"Gate net: avoid unnecessary length; consider shielding if high impedance. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails. Large estimated HPWL: place related devices closer or route with shielding/upper metal.","X2,X3,X9,XQ0","D,E,G"
netd,4,3,62.6628,15.693200000000004,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,14",5712.6628,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xd,Xe,Xf","D,G"
neta,4,3,62.30279999999998,15.33319999999999,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,21",5712.3027999999995,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","Xa,Xb,Xc","D,G"
net13,4,3,48.90939999999999,1.9397999999999982,46.96959999999999,False,bias_or_feedback_sensitive,high,"255,18",5698.9094000000005,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X11,X6,X7","D,G"
net19,4,3,48.805800000000005,1.7998000000000012,47.006,False,bias_or_feedback_sensitive,high,"255,16",5698.8058,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X10,X4,X5","D,G"
net16,3,2,74.156,2.166,71.99000000000001,False,bias_or_feedback_sensitive,high,"255,17",4724.156,"Mirror/bias gate net: keep short, symmetric, and away from noisy switching routes. Sensitive analog node: keep compact, minimize coupling, avoid crossing noisy rails.","X1,X2","D,G,S"
net3,3,3,107.64599999999997,19.016000000000002,88.62999999999997,False,local_signal,normal,"255,13",3607.646,Large estimated HPWL: place related devices closer or route with shielding/upper metal.,"X2,X3,X4","D,S"
net9,3,3,65.9344,18.132800000000003,47.80159999999999,False,local_signal,normal,"255,23",3315.9344,Normal local interconnect; route after priority/sensitive nets.,"X12,Xe,Xf","D,S"
net7,3,3,28.296400000000006,18.136000000000003,10.160400000000003,False,local_signal,normal,"255,20",3278.2964,Normal local interconnect; route after priority/sensitive nets.,"X4,X5,X6","D,S"
netbc,3,3,27.016,17.256,9.759999999999998,False,local_signal,normal,"255,21",3277.016,Normal local interconnect; route after priority/sensitive nets.,"X6,X7,Xc","D,S"
netef,3,3,27.016,17.256,9.759999999999998,False,local_signal,normal,"255,13",3277.016,Normal local interconnect; route after priority/sensitive nets.,"Xb,Xc,Xf","D,S"
